samples,proc,time_mean,time_std,runs
1000000,1,0.022865,0.00010453229166147436,3
1000000,4,0.0056556666666666665,0.0004678935064021872,3
1000000,8,0.0031593333333333334,9.586622623913632e-05,3
1500000,1,0.034299666666666666,0.00019700084602187215,3
1500000,4,0.008904,0.0003423083405352557,3
1500000,8,0.004561333333333333,0.00021043130312131116,3
10000000,1,0.21582633333333331,0.006008123362026889,3
10000000,4,0.05736366666666667,0.00010656609842408965,3
10000000,8,0.031237,0.000747547991770429,3
15000000,1,0.307182,0.003695618080916899,3
15000000,4,0.08676099999999999,0.0007277643849488685,3
15000000,8,0.046551,0.0008663047962466801,3
20000000,1,0.4224423333333333,0.0024202244386282027,3
20000000,4,0.11547666666666667,0.0022308709808801885,3
20000000,8,0.056361666666666664,0.0014298843776100712,3
